Infraestructura Educativa,,,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Escuela,Ubicación,Director,Alumnos,Nivel,Descripción Nivel,Clase,Descripción Clase
187,Jardines de la Patria,5B,"Preescolar ""Niño Artillero""","Ernest Hemingway Nº 196., Tel. 36733758",Dir. Maria Guadalupe Beltrán Santana,,2,Preescolar,2,Privado
187,Jardines de la Patria,5B,"Primaria ""Instituto Shekespeare""",William Sheskespeare Nº 5085,Dir. Rosa Fonseca Carrasco,,3,Primaria,2,Privado
187,Jardines de la Patria,5B,"USAER, TENANAMIKI, ""Niño Artillero""","Ernest Hemingway Nº 196., Tel. 36733758",Profra. María del Carmen Corona Torres,,7,Centro de Educación Especial,2,Privado
187,Jardines de la Patria,5B,"Escuela ""Bíblica Católica"" T/M y T/V",Calle Enrique Gómez Carrillo,,,8,Otros,2,Privado
189,Jardines de los Belenes,2B,"Preescolar · 169  ""Francisco Gonzalez Bocanegra""",Laureles y Agustin Quirarte,,,2,Preescolar,1,Público
189,Jardines de los Belenes,2B,Fco. Gonzalez Bocanegra T/M y Sor Juana Ines de la Cruz T/V,"Calle Laureles No. 27, entre Agustin Quirarte y Tepeyac",,,2,Preescolar,,Desconocido
189,Jardines de los Belenes,2B,"Primaria Estatal ""Octavio Paz Lozano""  T/V","Agustín Quirarte Nº 30, Tel. 33663385 y 38612816",Dir. Víctor Manuel Carrillo Woong,,3,Primaria,1,Público
189,Jardines de los Belenes,2B,"Primaria Estatal ""David Alfaro Siqueiros"" T/M","Agustín Quirarte Nº 30, Tel. 36330156",Dir. Celia Maciel Santana,,3,Primaria,1,Público
189,Jardines de los Belenes,2B,"Primaria Estatal ""Niños Héroes"" T / Noc","Agustín Quirarte Nº 30, Tel. 38237686",Dir. Adolfo Carrillo Gutiérrez,,3,Primaria,1,Público
191,Jardines de Nuevo México,4,INSTITUTO TECNOLIGICO DE EDUCACION AVANZADA,"AVENIDA JUAN GIL PRECIADO 2451
",,,,Desconocido,2,Privado
191,Jardines de Nuevo México,4,"Centro de Atención Infantil ""Nuevo México""","Novena sur No. 4960, Tel. 38327064",,,1,Inicial / Guarderia,2,Privado
191,Jardines de Nuevo México,4,"PREESCOLAR ""FRIDA KAHLO"" T/M","6A SUR 290
",,,2,Preescolar,2,Privado
191,Jardines de Nuevo México,4,Preescolar Estatal “José Vasconcelos”  T/V,Eliseo Orozco Nº 5600,Dir. María Robles Ortega,203,2,Preescolar,1,Público
191,Jardines de Nuevo México,4,"Preescolar ""Mano Amiga de Guadalajara""","Segunda poniente No. 275, Tel 38240937",,,2,Preescolar,2,Privado
191,Jardines de Nuevo México,4,Preescolar Estatal “José Vasconcelos”  T/M,Eliseo Orozco Nº 5600,Dir. Rosa María Cruz Montaño,,2,Preescolar,1,Público
191,Jardines de Nuevo México,4,"Preescolar ""Gabriela Mistral""",Octava Oriente No. 476,,,2,Preescolar,2,Privado
191,Jardines de Nuevo México,4,"Primaria ""Ruvalcaba de la Mora"" T/V","Primera Poniente, esquina con Emiliano Zapata",,,3,Primaria,1,Público
191,Jardines de Nuevo México,4,"Primaria ""Mano Amiga de Guadalajara""","Segunda poniente No. 275, Tel. 38240937",,,3,Primaria,2,Privado
191,Jardines de Nuevo México,4,"Primaria ""Emiliano Zapata"" T/M","Primera Poniente, esq. Emiliano Zapata",,,3,Primaria,1,Público
191,Jardines de Nuevo México,4,Primaria Estatal “Rafael Ramírez”  T/M,"4ta Cuarta Norte, Tel. 36368838 y 31658066",Dir. Ma. De los Ángeles Lozano Macías,,3,Primaria,1,Público
191,Jardines de Nuevo México,4,Primaria Estatal “Idolina Gaona Ruiz”  T/V,"4ta. Norte, Tel. 32039449 y 36331934",Dir. Rito Márquez Molina,483,3,Primaria,1,Público
191,Jardines de Nuevo México,4,Secundaria Estatal Mixta Nº 45,Indolita Gaona de Cosio Nº 5272,Dir. Enc. Salvador Águilar Jiménez,,4,Secundaria,1,Público
191,Jardines de Nuevo México,4,"SECUNDARIA ""COLEGIO DE PIONEROS DE EDUCACION AVANZADA"" T/M","AVENIDA JUAN GIL PRECIADO 2451, TEL. 30703333

",,,4,Secundaria,2,Privado
191,Jardines de Nuevo México,4,"Secundaria Particular, ""Mano Amiga de Guadalajara""","2da Poniente Nº 275, Tel. 38240937",Dir. Eugenia Elizabeth Martínez Espinos,,4,Secundaria,2,Privado
191,Jardines de Nuevo México,4,"SECUNDARIA ""SECUDNARIA GENERAL 66"" T/M y T/V","8A ORIENTE, TEL. 33653843

",,,4,Secundaria,1,Público
194,Jardines de Tabachines,2A,Primaria “Felipe Carrillo Puerto”  T/M,"Sabinos y  Paseo de las Galateas, Tel. 38610146",Dir. Marlenne de los Anggeles Burgos Rivero,,3,Primaria,1,Público
194,Jardines de Tabachines,2A,Primaria “Mariano Azuela”  T/V,"Paseo de las Galateas y Paseo de los Sabinos, Tel. 38610746",Dir. Beatriz Carrillo Muñoz,,3,Primaria,1,Público
194,Jardines de Tabachines,2A,"Secundaria Técnica No. 24, J. Angel Romero Llamas",Paseo Magnolias y Paseo Alerces,,,4,Secundaria,1,Público
194,Jardines de Tabachines,2A,Preparatoria Tecnologica  (CETIS 14),Paseo Acacias y Araucarias,,,5,Educación Media,1,Público
194,Jardines de Tabachines,2A,Escuela de Natación Atlántida T/V,Paseo de los Sabinos No.1304-A entre Sauces  y Paseos de los Sabinos Tel. 36604227,Dir. Georgina Martínez Ochoa,,8,Otros,2,Privado
195,Jardines del Auditorio,2A,"IMSS ""Centro Infantil Dominó, S.C."" ","González Gallo Nº 264 (Prolongación Federalismo y Av. Mezquitán), Tel. 33662655 y 36609477",Dir. Sra. Yolanda Sánchez López.,,1,Inicial / Guarderia,1,Público
195,Jardines del Auditorio,2A,Preescolar El Pequeño Mundo Infantil,"Enrique Gómez Carrillo Nº 5159, Tel. 36731299",,,2,Preescolar,,Desconocido
195,Jardines del Auditorio,2A,"Preescolar ""Gerardo Murillo Cornado"" No. 594 T/V",Vicente Lombardo Toledo ,,,2,Preescolar,,Desconocido
195,Jardines del Auditorio,2A,"Preescolar ""Gerardo Murillo Cornado"" 209 T/M",Dr. Atl ,,,2,Preescolar,,Desconocido
195,Jardines del Auditorio,2A,Primaria Federal “Emiliano Zapata” T/M,"Vicente Lombardo Toledano Nº 1874, Tel. 36723493",Dir. José Francisco Ulloa Macedo,327,3,Primaria,1,Público
195,Jardines del Auditorio,2A,Primaria Federal “Josefa Ortiz de Domínguez” T/V,"Vicente Lombardo Toledano Nº 1874, Tel. 38612329",Dir. Rafael Fregoso Illan,221,3,Primaria,1,Público
196,Jardines del Porvenir,2A,Inexistente,,,,99,NINGUNO,99,NINGUNO
197,Jardines del Sol,6,"Zamar ""Musica School""","Moctezuma N° 495, telefono 3133 3272",,,,Desconocido,2,Privado
197,Jardines del Sol,6,"Inicial/guarderia ""Jessie Mackinder"" (horario 07:30 a 18.00 hrs)","Paseo de los Laureles N° 323, telefono 3631 5073",,,1,Inicial / Guarderia,1,Público
197,Jardines del Sol,6,"DIF, CDI N° 4 ""Melvin Jones"" (inicial/Preescolar)","Tulum N° 4560, Telefono 3632 4548",,,1,Inicial / Guarderia,1,Público
197,Jardines del Sol,6,"Guarderia ""Mi solecito"" Instancia infantil","Av. Moctezuma N° 448, telefono 3631 2878",,,1,Inicial / Guarderia,2,Privado
197,Jardines del Sol,6,"Guarderia / Jardin de Niños ""Mac Kinder""","Prado de los Laureles N° 323, Telefono 3631 5073",,,2,Preescolar,2,Privado
197,Jardines del Sol,6,"Preescolar Federal ""Simón Bolívar""","Tulum N° 4675, telefono 3632 4971",,,2,Preescolar,1,Público
197,Jardines del Sol,6,"Preescolar ""Jessie Mackinder"" (Horario 7:30 a 18:00 hrs.) ","Prados de los Laureles N° 323, Telefono 3631 5073",,,2,Preescolar,2,Privado
197,Jardines del Sol,6,"Primaria ""Toulose Lautrec"" T/M","Prados de los Cedros N° 1540, telefono 3632 1105",,,3,Primaria,2,Privado
197,Jardines del Sol,6,"Primaria ""Colegio Moctezuma"" T/M","Mocrtezuma N° 349, telefono 3632 8238 y 3631 5954",,,3,Primaria,2,Privado
197,Jardines del Sol,6,formacion para la tercera edad teresa de calcuta,avenida moctezuma 434,,,8,Otros,2,Privado
198,Jardines del Valle,4,"PREESCOLAR ""JESUS F CONTRERAS"" T/V","VALLE DE MEXICO
",,,2,Preescolar,1,Público
198,Jardines del Valle,4,"PREESCOLAR ""TLAMACHTIANI"" T/M","VALLE DE GUADALUPE 1789
",,,2,Preescolar,2,Privado
198,Jardines del Valle,4,Preescolar Federal “Niño Artillero”,"Av. Acueducto Nº 3112, Tel. 38349520",Dir. Francisca Robles Rosales,,2,Preescolar,1,Público
198,Jardines del Valle,4,"PREESCOLAR ""FRANCISCO GABILONDO SOLER"" T/M","AVENIDA VALLE DE MEXICO 2523
",,,2,Preescolar,2,Privado
198,Jardines del Valle,4,"PRIMARIA ""JOSE"" T/M","AVENIDA VALLE DE ATEMAJAC 2445 6, TEL. 33647468

",,,3,Primaria,2,Privado
198,Jardines del Valle,4,"PRIMARIA ""TLAMACHTIANI"" T/M","VALLE DE GUADALUPE 1789, TEL.11993747

",,,3,Primaria,2,Privado
198,Jardines del Valle,4,Primaria “José Vasconcelos” T/V,Valle de México Nº 2737,Dir. Agustín Martínez Orozco,,3,Primaria,,Desconocido
198,Jardines del Valle,4,Primaria “Sor Juana Inés de la Cruz”  T/M,Valle de México Nº 2737,Dir. Gilberto Vallejo Hernández,,3,Primaria,,Desconocido
198,Jardines del Valle,4,"Secundaria Particular ""Irene Robledo""",Acueducto Nº 3145,Dir. Gloria Solano Gómez,,4,Secundaria,2,Privado
198,Jardines del Valle,4,"SECUNDARIA ""JOSE"" T/M","AVENIDA VALLE DE ATEMAJAC 2445 6 TEL. 33647468

",,,4,Secundaria,2,Privado
198,Jardines del Valle,4,"SECUNDARIA ""IRENE ROBLEDO GARCIA"" T/M Y T/V","VALLE DE MEXICO 2519, TEL. 36363042

",,,4,Secundaria,1,Público
199,Jardines del Vergel ,2A,Guardería DIF,Av. del Vergel No. 264,,,1,Inicial / Guarderia,1,Público
199,Jardines del Vergel ,2A,"Preescolar ""Rosaura Zapata""",Av. del Vergel No. 2415,,,2,Preescolar,,Desconocido
199,Jardines del Vergel ,2A,"PREESCOLAR ""JARDIN DEL VERGEL"" T/M","CALZADA DEL VERGEL ORIENTE 2543
",,,2,Preescolar,2,Privado
199,Jardines del Vergel ,2A,"Primaria Urbana 1142 ""Luis Donaldo Colosio Murrieta"" T/V",Av. del Vergel,,,3,Primaria,1,Público
199,Jardines del Vergel ,2A,"Primaria Urbana 1118 ""Luis Donaldo Colosio Murrieta""",Av. del Vergel,,,3,Primaria,1,Público
199,Jardines del Vergel ,2A,"Secundaria No. 61 ""Francisco Ayón Zéster""",Av. del Vergel,,,4,Secundaria,1,Público
200,Jardines del Vigía,1B,Primaria Federal “Sabino Delgado”  T/M,"Emilio Carranza Nº 1251, Tel. 36565379",Dir. María del Carmen López Romero,,3,Primaria,1,Público
200,Jardines del Vigía,1B,Primaria Estatal “Año de Juárez”  T/V,"Melchor Ocampo Nº 5112, Tel. 38331878 y 36603624",Dir. Soledad Dolores Álvarez Hernández,,3,Primaria,1,Público
200,Jardines del Vigía,1B,Primaria Estatal “Año de Juárez”  T/M,"Melchor Ocampo Nº 5112, Tel. 38331878",Dir. Yolanda de Anda Gómez,,3,Primaria,1,Público
201,Jardines Universidad,5B,"IMSS, Centro de Estimulación Temprana ""Naciones Unidas"" S. C.","Av. Naciones Unidas Nº 5122 (entre Ramón del Valle Inclán y Av. Patria), Tel. 36732606",Dir. Leticia Castillo Díaz,,1,Inicial / Guarderia,1,Público
201,Jardines Universidad,5B,"Guaderia ""Centro Educativo y Ludoteca Immaginare""",Naciones Unidas  5200,Dir. Lic. Elena Georgina López Aranda Ramírez,,1,Inicial / Guarderia,2,Privado
201,Jardines Universidad,5B,"Incial/Guarderia ""Pequeño Mundo Infantil """,Enrique Gomez Carrillo 5170 Tel. 36.73.12.99,Dir. Mercedes Lozano González,,1,Inicial / Guarderia,2,Privado
201,Jardines Universidad,5B,"Preescolar ""Centro Educativo y Ludoteca Immaginare""",Naciones Unidas No. 5188 Tel. 31.65.12.02,Dir. Lic. Elena Georgina López Aranda Ramírez,,2,Preescolar,2,Privado
201,Jardines Universidad,5B,"Preescolar "" Frida Kalho"" T/ M",Naciones Unidas 4935 Tel. 36.73.37.95,Dir. Representante Legal Lila Prats Hernádez,,2,Preescolar,2,Privado
201,Jardines Universidad,5B,"Preescolar ""Miguel de Unamuno"" (Timbertoy)","Miguel de Unamuno Nº 4620, Tel. 36730776",Dir. Lic. Adriana Ibarra Medina,,2,Preescolar,2,Privado
201,Jardines Universidad,5B,"Preescolar ""Tonantzin""","León Tolstoi Nº 5155, Tel. 36731412",Dir. Lic. Julia Gutiérrez Calleros,,2,Preescolar,2,Privado
201,Jardines Universidad,5B,"Preescolar ""Instituto Tanesque"" T/M","Naciones Unidas No. 4680, Tel. 36736550",Dir. Mtra.Vizcaino de Aguinaga,,2,Preescolar,2,Privado
201,Jardines Universidad,5B,"Preescolar "" Pequeño Mundo Infantil""","Enrique Gómez Carrillo Nª 5159,  Tel. 36731299",Dir. Mercedes Lozano González ,,2,Preescolar,2,Privado
201,Jardines Universidad,5B,"PREESCOLAR ""ALBERT EINSTEIN"" T/M","ENRIQUE GOMEZ CARRILLO 5159
",,,2,Preescolar,2,Privado
201,Jardines Universidad,5B,"PREESCOLAR ""ENRIQUE LAUBSCHER"" T/M","ECA DO QUEIROS 5031
",,,2,Preescolar,2,Privado
201,Jardines Universidad,5B,"Primaria ""Instituto Tanesquen""  T/M","George de Santayana No.4931, Tel. 36299095",Dir. Mtra. Martha Vizcaino de Aguinaga,,3,Primaria,2,Privado
201,Jardines Universidad,5B,"PRIMARIA ""INSTITUTO SHAKESPEARE"" T/M","AVENIDA WILLIAM SHAKESPEARE 5085, TEL. 33434837

",,,3,Primaria,2,Privado
201,Jardines Universidad,5B,"PRIMARIA ""ALBERT EINSTEIN"" T/M","ENRIQUE GOMEZ CARRILLO 5159, TEL. 36286173

",,,3,Primaria,2,Privado
201,Jardines Universidad,5B,"Secundaria  ""Instituto Tanesque"" T/M","George de Santayana  No. 4931 Tel. 36299095 y 36299096
",Dir. Mtra. Martha Vizcaino de Aqguinaga,,4,Secundaria,2,Privado
201,Jardines Universidad,5B,"Centro de Recuperación de Habilidades Academicas S,C. ""Brimen"" T/Mixto","Bruno Traven No.. 4984 Tel. 36.73.11.85
Niveles Primaria, Secundaria y Preparatoria",Lic. Liliana Emicenter Gutiérrez,,8,Otros,2,Privado
201,Jardines Universidad,5B,"Acuaerobics ""Petit Gim""",Naciones Unidas No. 5211 Tel. 36.73.48.21,Dir. Mónica Sánchez Flores,,8,Otros,2,Privado
201,Jardines Universidad,5B,"Escuela de Natación ""Maxwell""","Naciones Unidas No. 5242, Tel. 36733886",Dir. Alejandro Rafael Villaseñor Rivero,,8,Otros,2,Privado
202,Jardines Vallarta,5B,"PREESCOLAR ""TEODOMIRO MANZANO"" T/M","ALEJANDRO DUMAS 159
",,,2,Preescolar,2,Privado
202,Jardines Vallarta,5B,"Preescolar ""Colegio del Valle"" T/M","Juan Palomar y Arías Nº 126, Tel. 36296095",Dir. Lic. Marina Magaña Rojas,,2,Preescolar,2,Privado
202,Jardines Vallarta,5B,Primaria “Colegio del Valle” T/M,"Juan Palomar y Arias Nº 126, Tel. 36296095",Dir. Lic. Marina Magaña Rojas,,3,Primaria,2,Privado
202,Jardines Vallarta,5B,"PRIMARIA ""CENTRO EDUCATIVO JUAN SEBASTIAN BACH"" T/M","AVENIDA JUAN PALOMAR Y ARIAS 126, TEL. 36736343

",,,3,Primaria,2,Privado
202,Jardines Vallarta,5B,"SECUNDARIA ""CENTRO EDUCATIVO JUAN SEBASTIAN BACH"" T/M","AVENIDA JUAN PALOMAR Y ARIAS 126, TEL. 36736343

",,,4,Secundaria,2,Privado
202,Jardines Vallarta,5B,"Secundaria ""Colegio del Valle"" 1ª Y 2ª Grado de Secundaria T/M",Juan Palomar y Arías  No. 126. Tel. 36736343,Dir. Lic. Marina Magaña Rojas,,4,Secundaria,2,Privado
202,Jardines Vallarta,5B,"Escuela de Natación ""Aqualypso""",Novelistas y Alejandro Dumas,,,8,Otros,2,Privado
203,Jocotán,5A,"Preescolar Escuela para el Exito ""Educare"" T/M","Madero Nº 5850, Tel. 36271132",Dir. Germán Iván Treviño González,,2,Preescolar,2,Privado
203,Jocotán,5A,"Preescolar Federal ""Sor Juana Inés de la Cruz""","Ramón Corona, Tel. 36273487",Dir. María Carlota Vezco Moreno,,2,Preescolar,1,Público
203,Jocotán,5A,Primaria Federal “Miguel Hidalgo y Costilla”  T/V,"López Cotilla Nº 215, Tel. 36273517 y 38327685",Dir. Héctor Alfonso Sánchez Muñoz,,3,Primaria,1,Público
203,Jocotán,5A,"Primaria Escuela para el Exito ""Educare"" T/ M","Madero Nª 5850, Tel. 36271132",Dir.  Germán Iván Treviño González,,3,Primaria,2,Privado
203,Jocotán,5A,Primaria Federal “Vicente Suárez”  T/Mat,"López Cotilla Nº 215, Tel. 36263517 y 39158884",Dir. José Luís García Luna,,3,Primaria,1,Público
203,Jocotán,5A,"Secundaria Escuela para el Exito ""Educare"" T/M","Madero Nº 5850, Tel. 36271132",Dir. Benjamín Francisco Gódinez Quezada,,4,Secundaria,2,Privado
203,Jocotán,5A,"Preparatoria Escuela para el Éxito ""Educare "" T/M","Madero Nº 5850, Tel. 36272986",Dir. Benjamín Francisco Gódinez Quezada,,5,Educación Media,2,Privado
204,"Joya, La",2A,"SECUNDARIA ""JAIME TORRES BODET"" T/M y T/V","FLOR DE LIRIO 4521, TEL. 31807491

",,,4,Secundaria,1,Público
205,Juan Manuel Vallarta,7,"Casa Down de Guadalajara, A.C.","Géminis No. 4236, y Cáncer",,,7,Centro de Educación Especial,2,Privado
205,Juan Manuel Vallarta,7,INSTITUTO DE ENSEÐANZA B?SICA T?CNICA MEDIA Y SUPERIOR TERCER MILENIO,AVENIDA MEXICO 4982 A,,,8,Otros,2,Privado
206,Lagos del Country,1B,"PREESCOLAR ""JARDIN SONRISAS"" T/M","LAGO GINEBRA 2689
",,,2,Preescolar,2,Privado
206,Lagos del Country,1B,"Primaria Colegio ""Abraham Lincon"" ",Patria No. 2404,,,3,Primaria,2,Privado
207,Linda Vista,1A,Preescolar Federal “Eva Samano de López Mateos”,"Naranjos Nº 469, Tel. 36334530",Dir. Estela Yehut Bitar A la Torre,134,2,Preescolar,1,Público
207,Linda Vista,1A,"Corte y Confeccion ""Alta Costura""",Bellavista y Priv. Naranjos,,,8,Otros,1,Público
208,Loma Blanca,1A,"PREESCOLAR ""EDUCACION DE OCCIDENTE"" T/M","5 DE MAYO 388 A
",,,2,Preescolar,2,Privado
208,Loma Blanca,1A,"Preescolar ""Colegio American Academy"" Reg.SEP  Octavio Paz T/M","Sofìa Camarena de Jimenez No. 38,  36566107",Dir. Martha Patricia Rios Ferrer,,2,Preescolar,2,Privado
208,Loma Blanca,1A,Preescolar “Gabriela Mistral”,"Altamira Nº 904, Tel. 36368008.",Dir. Lourdes de la Hidalga,,2,Preescolar,2,Privado
208,Loma Blanca,1A,"PRIMARIA "" EDUCACION DE OCCIDENTE"" T/M","5 DE MAYO 388 A, TEL. 36337535

",,,3,Primaria,2,Privado
208,Loma Blanca,1A,"Primaria ""Colegio American Academy""  Reg. SEP Octavio Paz T/M","Sofìa Camarena de Jimenez No 38, 36566107",Dir. Martha Patricia Rios Ferrer,,3,Primaria,2,Privado
208,Loma Blanca,1A,"Primaria ""Newland School"" ",Altamira # 388,,,3,Primaria,2,Privado
208,Loma Blanca,1A,"Secundaria ""Colegio American Academy"" Reg. SEP Octavio Paz T/M","Sofia Camarena de Jimenez No.38, 36566107",Dir. Martha Patrica Rios Ferrer,,4,Secundaria,2,Privado
208,Loma Blanca,1A,"SECUNDARIA ""EDUCACION DE OCCIDENTE"" T/M","5 DE MAYO 388 A, TEL. 36337535

",,,4,Secundaria,2,Privado
208,Loma Blanca,1A,"Colegio de Jalisco, A.C. ",5 Mayo  No. 321 esq. Javier Mina  (Cuenta con otras  instituciones educativa),Dir. Mtro. José Luis Leal Zanabria,,8,Otros,2,Privado
209,Loma Bonita,6,"PREESCOLAR ""LOMA BONITA"" T/M","PERLA 3890
",,,2,Preescolar,2,Privado
209,Loma Bonita,6,"PRIMARIA ""JUAN PABLO II"" T/M","OBSIDIANA 3533, TEL. 96275586

",,,3,Primaria,2,Privado
209,Loma Bonita,6,"PRIMARIA ""CERVANTES"" T/M","AVENIDA MARCELINO CHAMPAGNAT 2845, TEL. 36313468

",,,3,Primaria,2,Privado
209,Loma Bonita,6,Secundaría Particular “Instituto de Humanidades y Ciencias de Guadalajara” T/M,"Félix Rougier Nº 3875 Nº Tel. 36315202 y 50001600
",,,4,Secundaria,2,Privado
209,Loma Bonita,6,Preparatoria UNE  T/M,"Av. López Mateos Sur Nº 4154, Tel. 36324095 - 96",Dir. Lic. Juan Manuel Flores González.,,5,Educación Media,2,Privado
209,Loma Bonita,6,CENTRO DE ESTUDIOS UNIVERSITARIOS VERACRUZ,AVENIDA LOPEZ MATEOS 2551,,,6,Universidad,2,Privado
209,Loma Bonita,6,"Universidad ""UNE"" T/V","Av. López Mateos Sur. Nª 4154, Tel. 36324095 y 36324096",Dir. Lic. Juan Manuel Flores González ,,6,Universidad,2,Privado
209,Loma Bonita,6,UNIVERSIDAD UNIVER PLANTEL LOMA BONITA,AVENIDA LOPEZ MATEOS SUR 2551,,,8,Otros,2,Privado
209,Loma Bonita,6,Instituto de Humanidades y Ciencias,Felix Rougier Nº 3875,,,8,Otros,2,Privado
210,Loma Bonita Ejidal,6,"Instancia Infantil ""SEDESOL""",Gabino Barreda N° 5005 y Rio Tuito,,,1,Inicial / Guarderia,2,Privado
210,Loma Bonita Ejidal,6,"Preescolar Federal ""Tlalpapalot""","Calle Tepalcatepetl, Tel. 31354723",Dir. María Leticia Cuarenta Vallejo,78,2,Preescolar,1,Público
210,Loma Bonita Ejidal,6,"Preescolar Federal ""Club Rotario de Guadalajara     "" USAER (Eduación Especial)""","Av. Cruz del Sur, Nº 3375, Tel. 31333013",Dir. Georgina Palafox Vargas,,2,Preescolar,1,Público
210,Loma Bonita Ejidal,6,"Preescolar Federal ""Generación Nº 1938""","Vicente Guerrero Nº 600, Tel. 3312561787",Dir. Florinela Morales y González,,2,Preescolar,1,Público
210,Loma Bonita Ejidal,6,"PREESCOLAR ""JOSE MARIA MORELOS Y PAVON"" T/M","RIO MEZQUITIC 755
",,,2,Preescolar,2,Privado
210,Loma Bonita Ejidal,6,"PREESCOLAR ""GENERACION 1938"" T/V","VICENTE GUERRERO 600
",,,2,Preescolar,1,Público
210,Loma Bonita Ejidal,6,"Colegio ""Rufino Tamayo""",Av. Farallón N° 5346,,,2,Preescolar,2,Privado
210,Loma Bonita Ejidal,6,"Primaria ""Alfredo V. Bonfil"" T/M y T/V","Rio Tomatlán N° 699, tel. 36340277 (T/M)  36326899 (T/V)

",,,3,Primaria,1,Público
210,Loma Bonita Ejidal,6,Secundaria Técnica N° 88,Calle Cruz de la Colina ,,,4,Secundaria,1,Público
210,Loma Bonita Ejidal,6,CET VERACRUZ LOMA BONITA,AVENIDA LOPEZ MATEOS SUR 2551,,,5,Educación Media,2,Privado
211,Loma Bonita Residencial,6,"Centro de Idiomas ""Parlink""","Conchitas N° 2949, telefóno 3632 0948",,,,Desconocido,2,Privado
211,Loma Bonita Residencial,6,"Primaria ""Instituto Loma Bonita""","Conchitas N°2853, Tel. 3634 1834",,,3,Primaria,2,Privado
212,Loma Bonita Sur,6,"Escuela de Natación ""CENCALLI""","Champagnaf N° 2845-A, Tel.  3632 01302 www.cencallinatacion.com",,,,Desconocido,2,Privado
212,Loma Bonita Sur,6,"Artes Marciales y Yoga ""Wushi Poodi""","Conchitas N° 2725, Tel.  3632 2037",,,,Desconocido,2,Privado
212,Loma Bonita Sur,6,Guardería Centro de Integración Infantil S. C. IMSS,"Obsidiana N° 3903, Tel.  3133 6611.",,,1,Inicial / Guarderia,2,Privado
212,Loma Bonita Sur,6,"Preescolar ""Intlanpalli"" T/M","Obsidiana N° 3927, Tel.  3634 9232",,,2,Preescolar,2,Privado
212,Loma Bonita Sur,6,"Preescolar ""Colegio Cervantes"" T/M","Marcelino Champagnat Nª 2845, Tel. 36313155",Dir. Hno. Oscar Dominguez Rodríguez,,2,Preescolar,2,Privado
212,Loma Bonita Sur,6,"Primaria  ""Colegio Cervantes"" T/M","Marcelino Champagnt Nº 2845, Tel. 36313468",Dir. Hno. Oscar Dominguez Rodríguez,,3,Primaria,2,Privado
212,Loma Bonita Sur,6,"Preparatoria "" Colegio Cervantes "" T/M","Marcelino Champagnat Nª 2981, Tel.. 35463943",Dir. Lizardo Octavio Contreras  Sosa,,5,Educación Media,2,Privado
212,Loma Bonita Sur,6,Universidad Marista  de Guadalajara,"Marcelino Champacnat Nº 2981, Tel. 35403900",Hno. Luis Alberto Dávalos Valadez,,6,Universidad,2,Privado
213,Loma Real,5B,Inexistente,,,,99,NINGUNO,99,NINGUNO
214,"Loma, La",1B,Inexistente,,,,99,NINGUNO,99,NINGUNO
215,Lomas Altas,5B,"Preescolar ""Marie Curie""",Piscis N° 384 y Paseo del Rocio,,,2,Preescolar,2,Privado
216,Lomas de Atemajac,1B,"PREESCOLAR ""WALTER ELIAS DISNEY"" T/M","AVENIDA PATRIA 2214
",,,2,Preescolar,2,Privado
216,Lomas de Atemajac,1B,"PREESCOLAR ""CENTRO EDUCATIVO INFANTIL JEAN PIAGET"" T/M","LOMAS VERDES 2255
",,,2,Preescolar,2,Privado
216,Lomas de Atemajac,1B,"PRIMARIA ""COLUMBIA ACTIEDUCACION"" T/M","AVENIDA PATRIA 2212, TEL. 38244153

",,,3,Primaria,2,Privado
216,Lomas de Atemajac,1B,"SECUNDARIA ""JUSTO SIERRA MENDEZ"" T/M","AVENIDA PATRIA 2531, TEL. 31110528

",,,4,Secundaria,2,Privado
217,Lomas de Guadalupe,5A,"Guardedía ""W.R. Hamilton School""","Antonio Àlvarez del Castillo Nª 36, Tel. 36290470",Dir.Edna Segoviano Mejía.,,1,Inicial / Guarderia,2,Privado
217,Lomas de Guadalupe,5A,"PREESCOLAR ""ESTEFANIA CASTAÑEDA NUÑEZ"" T/M","SAN JUAN BOSCO 4759
",,,2,Preescolar,2,Privado
217,Lomas de Guadalupe,5A,"Preescolar “W.R. Hamilton School""","Antonio Álvarez del Castillo Nº 36, Tel. 36290470 y 36293966",Dir. Lic. María Antonia Mariscal Ureña,,2,Preescolar,2,Privado
217,Lomas de Guadalupe,5A,"Preescolar ""Nederland""","San Juan Bosco S/n, Telefóno 3629 9953",,,2,Preescolar,2,Privado
217,Lomas de Guadalupe,5A,"PRIMARIA ""CLAIRMONT SCHOOL"" T/M","ANTONIO ALVAREZ DEL CASTILLO 36, TEL. 36290470

",,,3,Primaria,2,Privado
217,Lomas de Guadalupe,5A,Primaria “W.R. Hamilton School”  T/M,"Antonio Álvarez del Castillo Nº 36, Tel. 36290470 y 36293966",Dir. Lic. Laura Saldivar Pérez Boide,,3,Primaria,2,Privado
217,Lomas de Guadalupe,5A,"SECUNDARIA ""CLAIRMONT SCHOOL"" T/M","ANTONIO ALVAREZ DEL CASTILLO 36, TEL. 36290470

",,,4,Secundaria,2,Privado
217,Lomas de Guadalupe,5A,Secundaría  “W. R. Hamilton Scohol”,"Álvarez del Castillo Nº 36, Plantel Guadalupe, Tel. 36290470, 36293966 y 3121448",Dir. Iván Segoviano Mejia,,4,Secundaria,2,Privado
